Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Tipo Mensagem,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State,Message_Category,Match_Type,Match_ID,delta,Delta,Tempo de fix,Match_Complete
2025-09-30 07:36:42,2025-09-30 07:36:42,2025-09-30 07:36:42,4675740293,564,01,21,83,112,21,26448,0F,1,19,0.6,00,0,348,1082.5,-25.0494378,-51.5307072,284.3,00045697,0021800F,00006750,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA0,AF,X,NA,0,,,0.0,NA_0
2025-09-30 07:37:12,2025-09-30 07:37:11,2025-09-30 07:37:11,4675740293,565,01,44,83,255,44,30309,0F,1,19,0.6,00,0,357,1082.8,-25.0494304,-51.5307152,284.3,00045697,0021800F,00007665,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA6,AF,X,NA,0,,,0.0,NA_0
2025-09-30 07:39:42,2025-09-30 07:39:42,2025-09-30 07:39:42,4675740293,566,01,30,83,123,30,30369,0F,1,20,0.5,00,0,285,1081.4,-25.0491082,-51.5309426,284.3,000456BC,0021800F,000076A1,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FF9C,AF,T,T10,1,,6.0,0.0,T10_1
2025-09-30 07:42:42,2025-09-30 07:42:42,2025-09-30 07:42:42,4675740293,567,01,30,83,123,30,30430,0F,1,20,0.5,00,1,152,1083.7,-25.0492753,-51.5308071,284.4,000456CD,0021800F,000076DE,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA3,AF,T,T10,2,,6.0,0.0,T10_2
2025-09-30 07:45:42,2025-09-30 07:45:42,2025-09-30 07:45:42,4675740293,568,01,30,83,123,30,30339,0F,1,19,0.6,00,0,152,1083.7,-25.049267,-51.5308191,284.4,000456CD,0021800F,00007683,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA4,AF,T,T5,1,,5.0,0.0,T5_1
2025-09-30 07:48:42,2025-09-30 07:48:42,2025-09-30 07:48:42,4675740293,569,01,30,83,123,30,30248,0F,1,20,0.5,00,0,152,1084.0,-25.0492676,-51.5308182,284.4,000456CD,0021800F,00007628,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA5,AF,T,T10,3,,6.0,0.0,T10_3
2025-09-30 07:51:42,2025-09-30 07:51:42,2025-09-30 07:51:42,4675740293,570,01,30,83,123,30,30187,0F,1,20,0.5,00,0,152,1084.4,-25.049268,-51.5308168,284.4,000456CD,0021800F,000075EB,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA4,AF,T,T5,2,,5.0,0.0,T5_2
2025-09-30 07:54:42,2025-09-30 07:54:42,2025-09-30 07:54:42,4675740293,571,01,30,83,123,30,30096,0F,1,20,0.5,00,0,152,1085.1,-25.0492618,-51.5308103,284.4,000456CD,0021800F,00007590,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA4,AF,T,T10,4,,6.0,0.0,T10_4
2025-09-30 07:57:42,2025-09-30 07:57:42,2025-09-30 07:57:42,4675740293,572,01,30,83,123,30,30126,0F,1,20,0.5,00,4,233,1089.2,-25.0491857,-51.5313403,284.4,0004570D,0021800F,000075AE,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FF9F,AF,T,T10,5,,6.0,0.0,T10_5
2025-09-30 08:00:42,2025-09-30 08:00:42,2025-09-30 08:00:42,4675740293,573,01,30,83,123,30,30187,0F,1,20,0.5,00,0,234,1087.7,-25.0491904,-51.531341,284.4,0004570D,0021800F,000075EB,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA0,AF,T,T5,3,,5.0,0.0,T5_3
2025-09-30 08:03:42,2025-09-30 08:03:42,2025-09-30 08:03:42,4675740293,574,01,30,83,123,30,29883,2F,1,21,0.5,00,21,265,1059.1,-25.0484626,-51.5357452,285.0,0004591E,0021802F,000074BB,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FF9E,AF,T,T10,6,,6.0,0.0,T10_6
