Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type
2025-10-02 15:16:20,2025-10-02 15:16:20,2025-10-02 14:19:14,385349,862689070108177,1080,GTIGN,4.05,,698407,12612,81,00,21,,10506,6,1,0724,0011,E36D,0928EA17,0.0,349,14.5,-22.834443,-43.354252,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:17:22,2025-10-02 15:17:22,2025-10-02 14:19:14,385349,862689070108177,1082,GTIGF,4.09,,698407,13874,80,00,12,62,,0,0,0724,0011,E36D,092A1515,0.0,349,14.5,-22.834443,-43.354252,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:18:13,2025-10-02 15:18:13,2025-10-02 15:18:13,385349,862689070108177,1083,GTERI,4.06,00008200,698407,12780,80,00,11,,,5,1,0724,0011,E36D,092A1515,0.0,349,14.5,-22.834443,-43.354252,1.3,,24,0,2,3,,,,,,,,,,,,,,,,1,0.0,349,14.5,-43.354252,-22.834443,2025-10-02 15:18:13,5,1.3,10
2025-10-02 15:23:54,2025-10-02 15:23:54,2025-10-02 15:18:13,385349,862689070108177,1084,GTIGN,4.04,,698407,12708,81,00,22,,392,5,1,0724,0011,E36D,092A1515,0.0,349,14.5,-22.834443,-43.354252,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:24:14,2025-10-02 15:24:14,2025-10-02 15:24:14,385349,862689070108177,1086,GTERI,4.04,00008200,698407,13858,81,00,22,,,5,1,0724,0011,E36D,092A1515,1.8,247,86.4,-22.833702,-43.355122,1.3,,22,0,2,3,,,,,,,,,,,,,,,,1,1.8,247,86.4,-43.355122,-22.833702,2025-10-02 15:24:14,5,1.4,10
2025-10-02 15:27:14,2025-10-02 15:27:14,2025-10-02 15:27:09,385349,862689070108177,1088,GTERI,4.13,00008200,698407,13906,81,00,22,,,7,1,0724,0011,D87D,092BB917,14.1,249,19.8,-22.830510,-43.350075,2.4,,27,0,2,3,,,,,,,,,,,,,,,,1,54.6,66,33.0,-43.350627,-22.831233,2025-10-02 15:25:40,5,2.0,10
2025-10-02 15:30:22,2025-10-02 15:30:14,2025-10-02 15:30:10,385349,862689070108177,1091,GTERI,4.15,00008200,698407,13834,81,00,22,,,8,1,0724,0011,E36D,0928EA16,7.6,215,-51.5,-22.836870,-43.364238,4.0,,17,0,2,3,,,,,,,,,,,,,,,,1,62.8,249,-14.7,-43.358565,-22.833820,2025-10-02 15:28:33,7,3.4,10
2025-10-02 15:30:22,2025-10-02 15:30:14,2025-10-02 15:30:10,385349,862689070108177,1091,GTERI,4.15,00008200,698407,13834,81,00,22,,,8,1,0724,0011,E36D,0928EA16,7.6,215,-51.5,-22.836870,-43.364238,4.0,,17,0,2,3,,,,,,,,,,,,,,,,1,62.8,249,-14.7,-43.358565,-22.833820,2025-10-02 15:28:33,7,3.4,10
2025-10-02 15:30:22,2025-10-02 15:30:14,2025-10-02 15:30:10,385349,862689070108177,1091,GTERI,4.15,00008200,698407,13834,81,00,22,,,8,1,0724,0011,E36D,0928EA16,7.6,215,-51.5,-22.836870,-43.364238,4.0,,17,0,2,3,,,,,,,,,,,,,,,,1,62.8,249,-14.7,-43.358565,-22.833820,2025-10-02 15:28:33,7,3.4,10
2025-10-02 15:33:14,2025-10-02 15:33:14,2025-10-02 15:33:10,385349,862689070108177,1093,GTERI,4.16,00008200,698407,13906,81,00,22,,,9,1,0724,0011,E36D,0929C416,8.6,237,31.3,-22.839073,-43.367653,4.5,,17,0,2,3,,,,,,,,,,,,,,,,1,21.0,233,6.4,-43.366360,-22.838243,2025-10-02 15:32:05,9,4.3,10
2025-10-02 15:34:39,2025-10-02 15:34:35,,385349,862689070108177,1095,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:34:39,2025-10-02 15:34:35,,385349,862689070108177,1095,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:36:14,2025-10-02 15:36:14,2025-10-02 15:36:10,385349,862689070108177,1097,GTERI,4.18,00008200,698407,13810,81,00,22,,,8,1,0724,0011,E36D,09514D16,0.0,123,14.4,-22.843372,-43.375265,5.5,,20,0,2,3,,,,,,,,,,,,,,,,1,56.6,237,9.6,-43.372997,-22.842250,2025-10-02 15:34:26,9,5.1,10
2025-10-02 15:39:15,2025-10-02 15:39:14,2025-10-02 15:39:10,385349,862689070108177,1099,GTERI,4.18,00008200,698407,13842,81,00,21,,,10,1,0724,0011,E36D,09514D16,0.0,57,13.8,-22.843307,-43.375217,5.5,,20,0,2,3,,,,,,,,,,,,,,,,1,9.1,17,19.9,-43.375295,-22.843327,2025-10-02 15:36:19,7,5.5,10
2025-10-02 15:40:58,2025-10-02 15:40:58,2025-10-02 15:40:58,385349,862689070108177,1101,GTIGF,4.19,,698407,12828,80,00,11,1024,,9,0,0724,0011,E36D,09514D15,0.0,57,13.8,-22.843307,-43.375217,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:40:59,2025-10-02 15:40:59,2025-10-02 15:40:59,385349,862689070108177,1102,GTERI,4.19,00008200,698407,12948,80,00,11,,,10,1,0724,0011,E36D,09514D15,0.0,57,13.8,-22.843307,-43.375217,5.5,,18,0,2,3,,,,,,,,,,,,,,,,1,0.0,57,13.8,-43.375217,-22.843307,2025-10-02 15:40:59,10,5.5,10
2025-10-02 15:43:40,2025-10-02 15:43:40,2025-10-02 15:40:59,385349,862689070108177,1103,GTIGN,4.13,,698407,13035,81,00,21,,162,10,1,0724,0011,E36D,09514D16,0.0,57,13.8,-22.843307,-43.375217,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:43:52,2025-10-02 15:43:52,2025-10-02 15:43:51,385349,862689070108177,1105,GTERI,4.13,00008200,698407,13650,81,00,22,,,6,1,0724,0011,E36D,09514D16,0.9,60,11.3,-22.843245,-43.375257,5.5,,20,0,2,3,,,,,,,,,,,,,,,,1,0.9,60,11.3,-43.375257,-22.843245,2025-10-02 15:43:51,6,5.5,10
2025-10-02 15:46:49,2025-10-02 15:46:49,2025-10-02 15:46:45,385349,862689070108177,1107,GTERI,4.19,00008200,698407,13946,81,00,22,,,9,1,0724,0011,E309,094EFB17,75.3,254,31.3,-22.852060,-43.388443,7.3,,22,0,2,3,,,,,,,,,,,,,,,,1,75.3,254,31.3,-43.388443,-22.852060,2025-10-02 15:46:45,9,7.3,10
2025-10-02 15:49:49,2025-10-02 15:49:49,2025-10-02 15:49:44,385349,862689070108177,1110,GTERI,4.19,00008200,698407,13890,81,00,22,,,9,1,0724,0011,E309,09514E15,80.4,162,59.5,-22.864950,-43.417283,10.8,,22,0,2,3,,,,,,,,,,,,,,,,1,82.7,241,5.3,-43.401633,-22.857102,2025-10-02 15:48:02,9,8.7,10
2025-10-02 15:52:42,2025-10-02 15:52:41,,385349,862689070108177,1112,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:52:46,2025-10-02 15:52:45,,385349,862689070108177,1113,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 15:52:49,2025-10-02 15:52:49,2025-10-02 15:52:44,385349,862689070108177,1114,GTERI,4.19,00008200,698407,13938,81,00,22,,,11,1,0724,0011,E309,0933A815,45.9,179,24.2,-22.894753,-43.399865,15.0,,21,0,2,3,,,,,,,,,,,,,,,,1,97.7,186,59.2,-43.401073,-22.887712,2025-10-02 15:52:11,10,14.2,10
2025-10-02 15:55:49,2025-10-02 15:55:49,2025-10-02 15:55:44,385349,862689070108177,1117,GTERI,4.19,00008200,698407,13850,81,00,21,,,11,1,0724,0011,E309,0933A815,0.0,186,33.0,-22.895412,-43.399673,15.0,,22,0,2,3,,,,,,,,,,,,,,,,1,15.9,174,26.0,-43.399812,-22.895138,2025-10-02 15:52:51,10,15.0,10
2025-10-02 15:58:49,2025-10-02 15:58:49,2025-10-02 15:58:34,385349,862689070108177,1119,GTERI,4.19,00008200,698407,13970,81,00,22,,,0,0,0724,0011,E309,0933A815,66.6,166,55.4,-22.899692,-43.397627,15.4,,15,0,2,3,,,,,,,,,,,,,,,,1,69.1,166,54.5,-43.397703,-22.899367,2025-10-02 15:58:32,6,15.5,10
2025-10-02 16:01:49,2025-10-02 16:01:49,2025-10-02 16:01:45,385349,862689070108177,1122,GTERI,4.19,00008200,698407,13922,81,00,22,,,10,1,0724,0011,E2A5,092AE517,75.0,184,72.4,-22.934155,-43.395693,19.7,,23,0,2,3,,,,,,,,,,,,,,,,1,97.0,201,35.8,-43.397235,-22.921720,2025-10-02 16:00:43,11,18.1,10
2025-10-02 16:04:23,2025-10-02 16:04:23,,385349,862689070108177,1124,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:04:25,2025-10-02 16:04:25,,385349,862689070108177,1125,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:04:49,2025-10-02 16:04:49,2025-10-02 16:04:44,385349,862689070108177,1126,GTERI,4.19,00008200,698407,13850,81,00,22,,,10,1,0724,0011,DB39,092CB716,0.0,219,-14.3,-22.963595,-43.394252,23.3,,21,0,2,3,,,,,,,,,,,,,,,,1,97.1,174,-1.3,-43.394500,-22.943348,2025-10-02 16:02:27,11,20.6,10
2025-10-02 16:07:45,2025-10-02 16:07:44,,385349,862689070108177,1129,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:07:49,2025-10-02 16:07:49,2025-10-02 16:07:44,385349,862689070108177,1130,GTERI,4.18,00008200,698407,13922,81,00,22,,,13,1,0724,0011,DB39,09283516,31.1,89,13.7,-22.973395,-43.393673,25.6,,25,0,2,3,,,,,,,,,,,,,,,,1,70.5,101,-2.3,-43.400347,-22.973042,2025-10-02 16:06:58,11,25.0,10
2025-10-02 16:09:01,2025-10-02 16:09:01,,385349,862689070108177,1131,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:09:03,2025-10-02 16:09:03,,385349,862689070108177,1132,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:09:05,2025-10-02 16:09:05,,385349,862689070108177,1133,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:10:49,2025-10-02 16:10:49,2025-10-02 16:10:44,385349,862689070108177,1135,GTERI,4.18,00008200,698407,13994,81,00,22,,,14,1,0724,0011,DB39,0929B216,45.0,90,21.2,-22.973450,-43.380538,27.0,,26,0,2,3,,,,,,,,,,,,,,,,1,63.9,87,18.4,-43.386972,-22.973427,2025-10-02 16:08:55,12,26.3,10
2025-10-02 16:13:49,2025-10-02 16:13:49,2025-10-02 16:13:44,385349,862689070108177,1138,GTERI,4.18,00008200,698407,13906,81,00,22,,,13,1,0724,0011,DB39,0929B216,23.9,347,11.7,-22.972758,-43.385518,28.2,,31,0,2,3,,,,,,,,,,,,,,,,1,57.5,90,28.9,-43.378763,-22.973472,2025-10-02 16:10:56,14,27.2,10
2025-10-02 16:16:49,2025-10-02 16:16:49,2025-10-02 16:14:40,385349,862689070108177,1140,GTERI,4.18,00008200,698407,13914,81,00,22,,,0,0,0724,0011,DB39,0929B215,11.4,90,-5.7,-22.971502,-43.385393,28.4,,18,0,2,3,,,,,,,,,,,,,,,,1,22.9,358,10.3,-43.385492,-22.972378,2025-10-02 16:13:53,13,28.3,10
2025-10-02 16:17:12,2025-10-02 16:17:12,2025-10-02 16:14:40,385349,862689070108177,1141,GTIGF,4.18,,698407,13834,80,00,11,2012,,0,0,0724,0011,DB39,0929B215,11.4,90,-5.7,-22.971502,-43.385393,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:17:15,2025-10-02 16:17:15,2025-10-02 16:14:40,385349,862689070108177,1142,GTERI,4.18,00008200,698407,13506,80,00,11,,,4,0,0724,0011,DB39,0929B215,11.4,90,-5.7,-22.971502,-43.385393,28.4,,16,0,2,3,,,,,,,,,,,,,,,,0,11.4,90,-5.7,-43.385393,-22.971502,2025-10-02 16:14:40,4,28.4,10
