Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Tipo Mensagem,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State
2025-09-29 15:05:07,2025-09-29 15:05:07,2025-09-29 15:05:07,4675644778,131,01,02,83,75,27,24168,0E,0,16,0.6,00,0,0,1050.0,-25.0478924,-51.5419852,61490.9,03AA46A9,0021800E,00005E68,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB3,2F
2025-09-29 16:05:11,2025-09-29 16:05:11,2025-09-29 16:05:11,4675644778,132,01,02,83,75,27,24016,0E,0,17,0.6,00,0,0,1033.9,-25.0478986,-51.5419855,61490.9,03AA46A9,0021800E,00005DD0,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB1,2F
2025-09-29 18:00:34,2025-09-29 17:05:14,2025-09-29 17:05:14,4675644778,133,01,02,83,75,27,23864,0E,0,14,0.7,20,0,0,1047.0,-25.0479084,-51.5419103,61490.9,03AA46A9,0021800E,00005D38,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000,0000,00
2025-09-29 18:05:18,2025-09-29 18:05:17,2025-09-29 18:05:17,4675644778,134,01,02,83,75,27,23803,0E,0,15,0.7,00,0,102,1045.8,-25.0479084,-51.5419333,61490.9,03AA46A9,0021800E,00005CFB,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB3,0F
2025-09-29 18:22:39,2025-09-29 18:22:29,2025-09-29 18:05:27,4675644778,135,01,02,83,112,21,22587,0F,1,14,0.7,24,0,102,1045.9,-25.0479084,-51.5419333,61490.9,03AA46A9,0021800F,0000583B,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000,0000,00
2025-09-29 18:25:31,2025-09-29 18:25:30,2025-09-29 18:25:30,4675644778,136,01,02,83,123,30,27299,2F,1,12,0.8,00,0,79,1044.9,-25.0477859,-51.54182,61490.9,03AA46CE,0021802F,00006AA3,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB6,0F
2025-09-29 18:26:03,2025-09-29 18:26:03,2025-09-29 18:26:03,4675644778,137,01,02,83,255,45,26144,0E,0,13,0.8,00,0,79,1046.5,-25.0477956,-51.541806,61490.9,03AA46CE,0021800E,00006620,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB6,0F
2025-09-29 18:26:04,2025-09-29 18:26:03,2025-09-29 18:26:03,4675644778,138,01,02,83,128,20,26144,0E,0,13,0.8,00,0,79,1046.5,-25.0477956,-51.541806,61490.9,03AA46CE,0021800E,00006620,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB6,0F
2025-09-29 18:31:04,2025-09-29 18:31:03,2025-09-29 18:31:03,4675644778,139,01,02,83,75,27,25201,0E,0,10,1.0,00,0,20,1050.2,-25.0477798,-51.5418384,61490.9,03AA46CE,0021800E,00006271,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB3,0F
2025-09-29 19:31:07,2025-09-29 19:31:06,2025-09-29 19:31:06,4675644778,140,01,02,83,75,27,24867,0E,0,8,1.1,00,0,8,1045.6,-25.0477771,-51.5418037,61490.9,03AA46CE,0021800E,00006123,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB6,0F
